제품명,평균_점수,총_점수
(넛츠 컬렉션) 블렌딩 무드 치크 [10 뮤티드 넛츠],1.2909970524007066,121.35372292566642
쏠레이 컨투어링 컴팩트,1.2909962230870151,5.1639848923480605
아이보들 크림 [레몬향],1.290993631302632,140.71830581198688
데일리 볼륨 업 컬 크림,1.2909796174995138,60.67604202247715
락토시카 락킹 세럼패드,1.2909614030898888,94.24018242556188
스칼프 인텐시브 앰플,1.2909597837727838,41.31071308072908
프레스드 파우더 팩트,1.2909549714984045,111.02212754886278
서렌 바디오일 라벤더 & 마조람,1.290954659063034,108.44019136129486
퍼펙트 피니쉬 루스 파우더,1.2909496841831745,151.0411130494314
리얼모달 입는 오버나이트,1.2909479795683716,101.98489038590135
셀러스 선 젤 [SPF50+/PA+++],1.2909357375201957,104.56579473913585
에잇 티 클렌징 워터,1.290932763990417,147.16633509490754
바디워시 [자몽&오렌지],1.2909322896388264,152.33001017738152
프로바이오덤 리프팅 마사저,1.2909059305309463,130.38149898362556
믹스매치 치크팔레트,1.2908990622088612,91.65383341682914
엑스트라 슈퍼9 플러스 액티브 스틱,1.2908964689619244,92.94454576525855
엑소 에이지 햄프 미스트 세럼,1.2908937174651953,153.61635237835824
딥 포어 펀클렌징 약산성 발효 폼,1.2908840323395951,116.17956291056356
마일드 터치 립앤아이 리무버,1.290883167937148,80.03475641210318
워터풀 톤업 선 쿠션 [SPF50+/PA++++],1.290882710739252,47.762660297352326
미스치프 밍스 팔레트,1.290877483511344,25.817549670226878
리더스 카밍 바이오틱스 선 에센스 [SPF50+/PA++++],1.290876122284922,86.48870019308978
리제너레이티브 실트크림,1.2908694210847782,154.90433053017338
실키 선스틱 [SPF50+/PA++++],1.2908621157987457,21.944655968578676
납작 아이브로우 펜슬,1.2908583902794826,114.88639673487394
가벼운 수분 선 젤 로션 [SPF50+/PA++++],1.2908553891811427,32.27138472952857
탑투토 워시,1.2908518182635853,121.34007091677702
비타 글레이즈드 립 마스크,1.2908514051538766,90.35959836077136
하이퍼 펩타이드 밴디지 크림,1.2908404639070967,131.66572731852386
로즈쿼츠괄사,1.2908389985715685,30.980135965717643
바디워시 [라벤더&제라늄],1.2908362304841081,141.9919853532519
백설공주 겟아웃 선스프레이 [SPF50+/PA+++],1.2908300563199093,2.5816601126398186
글리터피디아 아이 팔레트,1.2908203453443758,114.88301073564945
데일리 아이마스크 [포근한 이불의 향],1.2908168210842106,14.198985031926316
펜타베리 판테놀 리페어 컨실러,1.290814411745065,116.17329705705585
펀더멘탈 앰플 미스트,1.2908133803958401,158.77004578868835
비건 릴리프 선 에센스 [SPF50+/PA++++],1.2908070396964482,118.75424765207323
하이드레이팅 젤 클렌저,1.290802277432603,154.89627329191234
래쉬 익스트림 픽싱 카라,1.290802037374235,82.61133039195104
쉐이빙부스터 그린 [시카],1.2907911646137886,15.489493975365463
콤부차 결바이옴 미스트,1.2907910121273558,140.69622032188178
엔조이 슈퍼 마일드 선 에센스 [SPF50+/PA++++],1.2907778160560701,165.21956045517697
프로 아이 유니버스 [디 언오디너리],1.2907760638681174,23.233969149626112
PDRN 핑크 펩타이드 앰플,1.2907696469435639,147.1477397515663
(스윗 플레져 에디션) 쉐이드 앤 섀도우 팔레트 [스쿱 오브 쉐이드],1.2907680958787238,67.11994098569363
클라우드 그램 쿠션 [SPF50+/PA++++],1.290766561424413,121.33205677389483
써니프루프 워터 선 젤 [SPF50+/PA++++],1.2907641608901064,9.035349126230745
핸드워시 [청포도],1.2907637685356281,148.43783338159724
딥 멜팅 소이 클렌징 밤,1.2907572094271238,125.203449314431
앰비언트 블러쉬,1.2907558817962195,104.55122642549378
스킨 릴리프 모이스춰라이징 로션,1.2907516837583541,129.0751683758354
라벤더 앤 로즈마리 배스 앤 마사지 오일,1.2907442970703538,6.453721485351769
내추럴 래스팅 아이브로우,1.2907437754889095,87.77057673324585
워터풀 선로션 마일드 [SPF50+/PA++++],1.290743300562865,15.48891960675438
블레미쉬 커버 비비 크림 [SPF50+/PA++++],1.2907357748527102,25.814715497054202
MLE 로션,1.2907319792258818,135.5268578187176
스머징 립 펜슬,1.290729274279462,70.99011008537042
슈퍼 쿨링 파우더 시트 [프리티 플로럴],1.2907287003691497,49.04769061402769
화이트 톤업 바디 세럼 [SPF21],1.290724905316084,175.53858712298742
카멜리아 안티링클 멀티밤,1.2907210994855212,162.63085853517566
비타 펩타이드 듀얼 세럼,1.290718368026161,122.61824496248528
마일드 샴푸,1.290701889284488,19.36052833926732
모이스처 밸런싱 크림,1.2907014538542514,149.72136864709316
립세린,1.2907003505209058,170.37244626875957
제로핏 매트 쿠션 [SPF50+/PA+++],1.2906951588926887,171.6624561327276
카밍 리페어 어린시카 겔 마스크,1.2906845175195154,139.39392789210765
워터 메이크업 베이스 [SPF50+/PA++++],1.290679794586729,163.91633391251457
모이스처 인 바디 5.0 바디로션,1.2906729434053663,131.64864022734736
프로바이오덤 리프팅 페이스 롤러,1.2906625315621396,46.463851136237025
레스 레스 폼 클렌저,1.2906577203864193,154.87892644637031
코튼 소프트 선 스틱 [SPF50+/PA++++],1.2906522642331495,178.11001246417464
화이트 머스크 포 맨 헤어 & 바디 워시,1.2906400593357392,5.162560237342957
본딩 글로우 립스틱,1.290639598472799,125.1920410518615
컨디셔닝 에센스 토너 프리쉐이프,1.2906374074145501,126.48246592662592
베리어덤 마일드 선쿠션 [SPF50/PA++++],1.2906337075346632,29.684575273297252
여윤팩,1.2906325852780218,129.0632585278022
솔리드 볼륨 앰플,1.2906304276984881,151.0037600407231
듀얼치크,1.2906293156870936,99.3784573079062
시카 알로에 카밍 올인원,1.2906281408707498,37.42821608525175
미스 플라워 앤 미스터 허니 프로폴리스 리쥬비네이팅 앰플 미스트,1.2906276202745866,118.73774106526197
스트레스 릴리빙 데일리 픽 토닝 패드,1.2906213820629877,122.60903129598384
펜타베리 판테놀 리페어 필패드,1.290619177180916,138.096251958358
AC 컨트롤 로션,1.2906141373450208,147.13001165733237
애프터올 슬릭 컨디셔너,1.2906116482151113,160.0358443786738
더블 세럼 올인원 멀티밤,1.2906093858274805,144.54825121267783
스킨 일루미네이션 [SPF30/PA++],1.290608090580989,80.01770161602131
애교 빔 드로잉 펜슬,1.2906079030791757,167.77902740029285
솔티 허니 바디 스크럽,1.290607679229107,152.29170614903464
베이비 앤 키즈 수딩젤,1.2906074405290713,72.274016669628
(오트 밀크 에디션) 리얼 아이 팔레트,1.2906042421463881,125.18861148819964
듀얼 핏 컨실러,1.2906027190058427,67.11134138830381
컬러 푸드 시리즈 화이트 홀썸 클렌징밤,1.290601940351511,145.83801925972074
무드 업 음영 아이 팔레트 포 히어로즈,1.290600278816022,49.04281059500884
데일리 모이스처 테라피 바디 로션,1.2905969527268004,112.28193488723164
워터락 피니셔,1.290585225916929,107.11857375110512
핸드 앤 네일 크림 인텐시브,1.2905807166051793,132.92981381033346
더 슬림 벨벳 래디컬,1.2905802215559254,91.63119573047071
더마앤서 액티브 부스트 앰플,1.2905785940290506,143.25422393722462
아토 고보습 베이비오일,1.2905718542464555,56.78516158684404
바이오 커버 밤,1.2905685786432628,171.64562095955395
부드러운 샤워볼,1.290563090196374,121.31293047845915
래스팅파인 크림 펜슬 라이너,1.2905617630031494,158.73909684938738
아니카 마사지 오일,1.2905596583597687,7.743357950158612
아트클래스 바이 로댕 헤어쉐딩,1.290558645091762,95.5013397367904
디디 선크림 [SPF50+/PA++++],1.2905551497643215,153.57606282195425
맑은 어성초 진정 무기자차 선크림 [SPF50+/PA++++],1.2905513280568177,144.54174874236358
소프트 블러 틴트,1.2905402030965336,94.20943482604696
노르딕 버치 핸드 워시,1.2905337950983582,136.79658228042598
판테놀 크림,1.2905289397324218,29.6821656138457
오트 프로틴 트리트먼트,1.2905252755898589,160.0251341731425
레그 서포터,1.2905241262998888,2.5810482525997775
코코넛 클레이 클렌징 폼,1.2905123790812847,149.69943597342902
블레미쉬 클렌징 오일,1.2905121227326626,141.95633350059288
(오 에디션) 오 스테이 컨실러,1.2905049648075015,94.20686243094761
쿨리스트 맨 올인원 워시,1.2905041056586157,74.84923812819972
마일드-S 모이스쳐 라이트 선 젤 [SPF50+/PA++++],1.2904982078637122,54.20092473027591
(약과몰입 컬렉션) 올테이크 무드 라이크 팔레트,1.2904968102679486,95.4967639598282
숨마 엘릭서 8-미라클 파워 에센스,1.290492477819586,87.75348849173186
포테이토 마데카소사이드 수딩 패드,1.2904922764204458,121.3062739835219
모이스트 프레쉬 선 미스트 [SPF50+/PA++++],1.2904902089948855,10.323921671959084
세라마이드샷 베리어 선케어 [SPF50+/PA++++],1.2904872094874136,30.971693027697928
디에이씨투 알래스카 엘엠더블유 히알루로닉 토너,1.2904826481424378,149.69598718452278
